unique_id,name,community,qr_url,svg_file
GB0-150-2,Maningrida Laundry,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-150-2,qr_GB0-150-2.svg
GB0-150-3,Maningrida Laundry,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-150-3,qr_GB0-150-3.svg
GB0-150-4,Maningrida Laundry,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-150-4,qr_GB0-150-4.svg
GB0-150-5,Maningrida Laundry,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-150-5,qr_GB0-150-5.svg
GB0-150-6,Maningrida Laundry,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-150-6,qr_GB0-150-6.svg
