unique_id,name,community,qr_url,svg_file
GB0-152-7,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-7,qr_GB0-152-7.svg
GB0-152-8,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-8,qr_GB0-152-8.svg
GB0-152-9,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-9,qr_GB0-152-9.svg
GB0-152-10,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-10,qr_GB0-152-10.svg
GB0-152-11,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-11,qr_GB0-152-11.svg
GB0-152-12,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-12,qr_GB0-152-12.svg
GB0-152-13,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-13,qr_GB0-152-13.svg
GB0-152-14,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-14,qr_GB0-152-14.svg
GB0-152-15,,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-152-15,qr_GB0-152-15.svg
